Date : 2024-06-25 16:53:55
Directory : c:\Workspaces\Visual Studio Code\wuye\sp-ic-b
Total : 230 files,  5278 codes, 1291 comments, 1415 blanks, all 7984 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src\notice                                                                                               |         11 |        224 |         74 |         62 |        360 |
| src\notice (Files)                                                                                       |          5 |        165 |         74 |         41 |        280 |
| src\notice\dtos                                                                                          |          5 |         37 |          0 |         12 |         49 |
| src\notice\entities                                                                                      |          1 |         22 |          0 |          9 |         31 |
| src\outsider                                                                                             |         10 |        205 |         61 |         56 |        322 |
| src\outsider (Files)                                                                                     |          5 |        153 |         61 |         36 |        250 |
| src\outsider\dtos                                                                                        |          4 |         32 |          0 |         12 |         44 |
| src\outsider\entities                                                                                    |          1 |         20 |          0 |          8 |         28 |
| src\parking                                                                                              |         10 |        209 |         61 |         52 |        322 |
| src\parking (Files)                                                                                      |          5 |        164 |         61 |         37 |        262 |
| src\parking\dtos                                                                                         |          4 |         29 |          0 |          9 |         38 |
| src\parking\entities                                                                                     |          1 |         16 |          0 |          6 |         22 |
| src\payment                                                                                              |         10 |        220 |         61 |         56 |        337 |
| src\payment (Files)                                                                                      |          5 |        165 |         61 |         36 |        262 |
| src\payment\dtos                                                                                         |          4 |         29 |          0 |          9 |         38 |
| src\payment\entities                                                                                     |          1 |         26 |          0 |         11 |         37 |
| src\post                                                                                                 |         10 |        241 |         66 |         61 |        368 |
| src\post (Files)                                                                                         |          5 |        180 |         66 |         36 |        282 |
| src\post\dtos                                                                                            |          4 |         33 |          0 |         13 |         46 |
| src\post\entities                                                                                        |          1 |         28 |          0 |         12 |         40 |
| src\post_collect                                                                                         |         10 |        208 |         57 |         49 |        314 |
| src\post_collect (Files)                                                                                 |          5 |        166 |         57 |         36 |        259 |
| src\post_collect\dtos                                                                                    |          4 |         28 |          0 |          8 |         36 |
| src\post_collect\entities                                                                                |          1 |         14 |          0 |          5 |         19 |
| src\post_comment                                                                                         |          9 |        199 |         49 |         49 |        297 |
| src\post_comment (Files)                                                                                 |          5 |        153 |         49 |         32 |        234 |
| src\post_comment\dtos                                                                                    |          3 |         23 |          0 |          8 |         31 |
| src\post_comment\entities                                                                                |          1 |         23 |          0 |          9 |         32 |
| src\post_comment_like                                                                                    |          9 |        158 |         45 |         40 |        243 |
| src\post_comment_like (Files)                                                                            |          5 |        125 |         45 |         31 |        201 |
| src\post_comment_like\dtos                                                                               |          3 |         19 |          0 |          4 |         23 |
| src\post_comment_like\entities                                                                           |          1 |         14 |          0 |          5 |         19 |
| src\post_like                                                                                            |          9 |        156 |         45 |         40 |        241 |
| src\post_like (Files)                                                                                    |          5 |        123 |         45 |         31 |        199 |
| src\post_like\dtos                                                                                       |          3 |         19 |          0 |          4 |         23 |
| src\post_like\entities                                                                                   |          1 |         14 |          0 |          5 |         19 |
| src\power                                                                                                |          7 |        139 |         29 |         46 |        214 |
| src\power (Files)                                                                                        |          5 |         89 |         29 |         23 |        141 |
| src\power\dtos                                                                                           |          1 |          2 |          0 |          1 |          3 |
| src\power\entities                                                                                       |          1 |         48 |          0 |         22 |         70 |
| src\repair                                                                                               |         10 |        208 |         61 |         53 |        322 |
| src\repair (Files)                                                                                       |          5 |        159 |         61 |         36 |        256 |
| src\repair\dtos                                                                                          |          4 |         29 |          0 |          9 |         38 |
| src\repair\entities                                                                                      |          1 |         20 |          0 |          8 |         28 |
| src\store                                                                                                |         11 |        290 |         72 |         71 |        433 |
| src\store (Files)                                                                                        |          5 |        224 |         72 |         41 |        337 |
| src\store\dtos                                                                                           |          5 |         40 |          0 |         19 |         59 |
| src\store\entities                                                                                       |          1 |         26 |          0 |         11 |         37 |
| src\user                                                                                                 |         20 |        611 |        206 |        157 |        974 |
| src\user (Files)                                                                                         |          5 |        454 |        206 |         90 |        750 |
| src\user\dtos                                                                                            |         14 |        113 |          0 |         47 |        160 |
| src\user\entities                                                                                        |          1 |         44 |          0 |         20 |         64 |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                 | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\.eslintrc.js                                               | JavaScript         |         25 |          0 |          1 |         26 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\.github\workflows\learn-github-actions.yml                 | YAML               |         32 |          0 |          7 |         39 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\.prettierrc                                                | JSON               |          4 |          0 |          0 |          4 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\Dockerfile                                                 | Docker             |         11 |          5 |         10 |         26 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\README.md                                                  | Markdown           |         51 |          2 |         21 |         74 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\nest-cli.json                                              | JSON               |          8 |          0 |          1 |          9 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\package.json                                               | JSON               |         73 |          0 |          1 |         74 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\.const\init.const.ts                                   | TypeScript         |          3 |          0 |          0 |          3 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\.const\msg.const.ts                                    | TypeScript         |        188 |          0 |        145 |        333 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\.const\num.const.ts                                    | TypeScript         |          7 |          0 |          4 |         11 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\.const\var.const.ts                                    | TypeScript         |          5 |          0 |          3 |          8 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\.dtos\dto.ts                                           | TypeScript         |          4 |          0 |          1 |          5 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\.dtos\result.ts                                        | TypeScript         |         20 |          0 |          7 |         27 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\.sql\init.sql                                          | SQL                |         20 |         10 |          9 |         39 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\.tools\boolean.tool.ts                                 | TypeScript         |          5 |          0 |          0 |          5 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\.tools\number.tool.ts                                  | TypeScript         |         14 |          0 |          3 |         17 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\.tools\object.tool.ts                                  | TypeScript         |          6 |          0 |          1 |          7 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\.tools\password.tool.ts                                | TypeScript         |         14 |          0 |          4 |         18 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\.tools\string.tool.ts                                  | TypeScript         |          5 |          0 |          0 |          5 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\.tools\time.tool.ts                                    | TypeScript         |         18 |          0 |          3 |         21 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\activity\activity.controller.spec.ts                   | TypeScript         |         16 |          0 |          5 |         21 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\activity\activity.controller.ts                        | TypeScript         |         65 |         30 |         10 |        105 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\activity\activity.module.ts                            | TypeScript         |         11 |          0 |          2 |         13 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\activity\activity.service.spec.ts                      | TypeScript         |         14 |          0 |          5 |         19 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\activity\activity.service.ts                           | TypeScript         |         69 |         33 |         15 |        117 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\activity\dtos\activity.create.dto.ts                   | TypeScript         |         13 |          0 |          9 |         22 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\activity\dtos\activity.delete.dto.ts                   | TypeScript         |          6 |          0 |          2 |          8 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\activity\dtos\activity.query.dto.ts                    | TypeScript         |          8 |          0 |          3 |         11 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\activity\dtos\activity.update.dto.ts                   | TypeScript         |         13 |          0 |          8 |         21 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\activity\entities\activity.entity.ts                   | TypeScript         |         28 |          0 |         12 |         40 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\app.controller.spec.ts                                 | TypeScript         |         18 |          0 |          5 |         23 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\app.controller.ts                                      | TypeScript         |         10 |          0 |          3 |         13 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\app.middleware.ts                                      | TypeScript         |         20 |          0 |          1 |         21 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\app.module.ts                                          | TypeScript         |         69 |          0 |          2 |         71 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\app.service.ts                                         | TypeScript         |          7 |          0 |          2 |          9 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\attend\attend.controller.spec.ts                       | TypeScript         |         16 |          0 |          5 |         21 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\attend\attend.controller.ts                            | TypeScript         |         41 |         24 |          8 |         73 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\attend\attend.module.ts                                | TypeScript         |         11 |          0 |          2 |         13 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\attend\attend.service.spec.ts                          | TypeScript         |         14 |          0 |          5 |         19 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\attend\attend.service.ts                               | TypeScript         |         77 |         24 |         11 |        112 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\attend\dtos\attend.create.dto.ts                       | TypeScript         |          7 |          0 |          2 |          9 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\attend\dtos\attend.query.dto.ts                        | TypeScript         |          9 |          0 |          4 |         13 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\attend\dtos\attend.update.dto.ts                       | TypeScript         |          7 |          0 |          2 |          9 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\attend\entities\attend.entity.ts                       | TypeScript         |         16 |          0 |          6 |         22 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\bill\bill.controller.spec.ts                           | TypeScript         |         16 |          0 |          5 |         21 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\bill\bill.controller.ts                                | TypeScript         |         42 |         25 |          8 |         75 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\bill\bill.module.ts                                    | TypeScript         |         11 |          0 |          2 |         13 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\bill\bill.service.spec.ts                              | TypeScript         |         14 |          0 |          5 |         19 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\bill\bill.service.ts                                   | TypeScript         |         93 |         24 |         11 |        128 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\bill\dtos\bill.delete.dto.ts                           | TypeScript         |          6 |          0 |          1 |          7 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\bill\dtos\bill.query.dto.ts                            | TypeScript         |          8 |          0 |          3 |         11 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\bill\dtos\bill.update.dto.ts                           | TypeScript         |          7 |          0 |          2 |          9 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\bill\entities\bill.entity.ts                           | TypeScript         |         26 |          0 |         11 |         37 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\feedback\dtos\feedback.create.dto.ts                   | TypeScript         |          9 |          0 |          4 |         13 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\feedback\dtos\feedback.delete.dto.ts                   | TypeScript         |          6 |          0 |          1 |          7 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\feedback\dtos\feedback.query.dto.ts                    | TypeScript         |          7 |          0 |          2 |          9 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\feedback\dtos\feedback.update.dto.ts                   | TypeScript         |          7 |          0 |          2 |          9 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\feedback\entities\feedback.entity.ts                   | TypeScript         |         22 |          0 |          9 |         31 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\feedback\feedback.controller.spec.ts                   | TypeScript         |         16 |          0 |          5 |         21 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\feedback\feedback.controller.ts                        | TypeScript         |         51 |         32 |         10 |         93 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\feedback\feedback.module.ts                            | TypeScript         |         11 |          0 |          2 |         13 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\feedback\feedback.service.spec.ts                      | TypeScript         |         14 |          0 |          5 |         19 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\feedback\feedback.service.ts                           | TypeScript         |         69 |         30 |         14 |        113 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\goods\dtos\goods.buy.dto.ts                            | TypeScript         |          7 |          0 |          2 |          9 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\goods\dtos\goods.create.dto.ts                         | TypeScript         |         12 |          0 |          7 |         19 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\goods\dtos\goods.delete.dto.ts                         | TypeScript         |          6 |          0 |          1 |          7 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\goods\dtos\goods.query.dto.ts                          | TypeScript         |          7 |          0 |          2 |          9 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\goods\dtos\goods.update.dto.ts                         | TypeScript         |         14 |          0 |          9 |         23 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\goods\entities\goods.entity.ts                         | TypeScript         |         29 |          0 |         12 |         41 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\goods\goods.controller.spec.ts                         | TypeScript         |         16 |          0 |          5 |         21 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\goods\goods.controller.ts                              | TypeScript         |         76 |         39 |         12 |        127 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\goods\goods.module.ts                                  | TypeScript         |         11 |          0 |          2 |         13 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\goods\goods.service.spec.ts                            | TypeScript         |         14 |          0 |          5 |         19 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\goods\goods.service.ts                                 | TypeScript         |        105 |         36 |         17 |        158 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\log\dtos\log.create.dto.ts                             | TypeScript         |          7 |          0 |          2 |          9 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\log\dtos\log.query.dto.ts                              | TypeScript         |         10 |          0 |          4 |         14 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\log\entities\log.entity.ts                             | TypeScript         |         26 |          0 |         11 |         37 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\log\log.controller.spec.ts                             | TypeScript         |         16 |          0 |          5 |         21 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\log\log.controller.ts                                  | TypeScript         |         37 |         17 |          6 |         60 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\log\log.module.ts                                      | TypeScript         |         11 |          0 |          2 |         13 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\log\log.service.spec.ts                                | TypeScript         |         14 |          0 |          5 |         19 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\log\log.service.ts                                     | TypeScript         |         62 |         26 |         10 |         98 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\main.ts                                                | TypeScript         |         13 |          0 |          3 |         16 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\message\dtos\message.create.dto.ts                     | TypeScript         |          9 |          0 |          4 |         13 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\message\dtos\message.query.dto.ts                      | TypeScript         |          7 |          0 |          2 |          9 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\message\dtos\message.read.dto.ts                       | TypeScript         |          6 |          0 |          1 |          7 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\message\entities\message.entity.ts                     | TypeScript         |         20 |          0 |          8 |         28 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\message\message.controller.spec.ts                     | TypeScript         |         16 |          0 |          5 |         21 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\message\message.controller.ts                          | TypeScript         |         41 |         23 |          8 |         72 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\message\message.module.ts                              | TypeScript         |         11 |          0 |          2 |         13 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\message\message.service.spec.ts                        | TypeScript         |         14 |          0 |          5 |         19 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\message\message.service.ts                             | TypeScript         |         54 |         24 |         13 |         91 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\notice\dtos\notice.create.dto.ts                       | TypeScript         |          9 |          0 |          4 |         13 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\notice\dtos\notice.delete.dto.ts                       | TypeScript         |          6 |          0 |          1 |          7 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\notice\dtos\notice.query.dto.ts                        | TypeScript         |          7 |          0 |          2 |          9 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\notice\dtos\notice.read.dto.ts                         | TypeScript         |          6 |          0 |          1 |          7 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\notice\dtos\notice.update.dto.ts                       | TypeScript         |          9 |          0 |          4 |         13 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\notice\entities\notice.entity.ts                       | TypeScript         |         22 |          0 |          9 |         31 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\notice\notice.controller.spec.ts                       | TypeScript         |         16 |          0 |          5 |         21 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\notice\notice.controller.ts                            | TypeScript         |         60 |         38 |         12 |        110 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\notice\notice.module.ts                                | TypeScript         |         11 |          0 |          2 |         13 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\notice\notice.service.spec.ts                          | TypeScript         |         14 |          0 |          5 |         19 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\notice\notice.service.ts                               | TypeScript         |         64 |         36 |         17 |        117 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\outsider\dtos\outsider.create.dto.ts                   | TypeScript         |          9 |          0 |          4 |         13 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\outsider\dtos\outsider.delete.dto.ts                   | TypeScript         |          6 |          0 |          1 |          7 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\outsider\dtos\outsider.query.dto.ts                    | TypeScript         |          7 |          0 |          2 |          9 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\outsider\dtos\outsider.update.dto.ts                   | TypeScript         |         10 |          0 |          5 |         15 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\outsider\entities\outsider.entity.ts                   | TypeScript         |         20 |          0 |          8 |         28 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\outsider\outsider.controller.spec.ts                   | TypeScript         |         16 |          0 |          5 |         21 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\outsider\outsider.controller.ts                        | TypeScript         |         58 |         31 |         10 |         99 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\outsider\outsider.module.ts                            | TypeScript         |         11 |          0 |          2 |         13 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\outsider\outsider.service.spec.ts                      | TypeScript         |         14 |          0 |          5 |         19 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\outsider\outsider.service.ts                           | TypeScript         |         54 |         30 |         14 |         98 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\parking\dtos\parking.create.dto.ts                     | TypeScript         |          7 |          0 |          2 |          9 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\parking\dtos\parking.delete.dto.ts                     | TypeScript         |          6 |          0 |          1 |          7 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\parking\dtos\parking.query.dto.ts                      | TypeScript         |          7 |          0 |          2 |          9 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\parking\dtos\parking.update.dto.ts                     | TypeScript         |          9 |          0 |          4 |         13 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\parking\entities\parking.entity.ts                     | TypeScript         |         16 |          0 |          6 |         22 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\parking\parking.controller.spec.ts                     | TypeScript         |         16 |          0 |          5 |         21 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\parking\parking.controller.ts                          | TypeScript         |         53 |         31 |         10 |         94 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\parking\parking.module.ts                              | TypeScript         |         11 |          0 |          2 |         13 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\parking\parking.service.spec.ts                        | TypeScript         |         14 |          0 |          5 |         19 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\parking\parking.service.ts                             | TypeScript         |         70 |         30 |         15 |        115 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\payment\dtos\payment.create.dto.ts                     | TypeScript         |         10 |          0 |          5 |         15 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\payment\dtos\payment.delete.dto.ts                     | TypeScript         |          6 |          0 |          1 |          7 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\payment\dtos\payment.query.dto.ts                      | TypeScript         |          7 |          0 |          2 |          9 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\payment\dtos\payment.update.dto.ts                     | TypeScript         |          6 |          0 |          1 |          7 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\payment\entities\payment.entity.ts                     | TypeScript         |         26 |          0 |         11 |         37 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\payment\payment.controller.spec.ts                     | TypeScript         |         16 |          0 |          5 |         21 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\payment\payment.controller.ts                          | TypeScript         |         50 |         31 |         10 |         91 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\payment\payment.module.ts                              | TypeScript         |         11 |          0 |          2 |         13 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\payment\payment.service.spec.ts                        | TypeScript         |         14 |          0 |          5 |         19 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\payment\payment.service.ts                             | TypeScript         |         74 |         30 |         14 |        118 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\post\dtos\post.create.dto.ts                           | TypeScript         |         11 |          0 |          6 |         17 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\post\dtos\post.delete.dto.ts                           | TypeScript         |          6 |          0 |          1 |          7 |
| c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\post\dtos\post.query.dto.ts                            | TypeScript         |          9 |          0 |          4 |         13 |
